,Image,F1,Jaccard,Recall,Precision
0,833.png,0.9161518093556927,0.8452768729641694,0.9137323943661971,0.9185840707964602
1,2069.png,0.805484147386461,0.6743185078909613,1.0,0.6743185078909613
2,3038.png,0.8420153714773697,0.7271386430678466,0.7679127725856698,0.9319470699432892
3,1169.png,0.9529147982062781,0.9100642398286938,0.915948275862069,0.9929906542056075
4,501.png,0.9639097744360903,0.93033381712627,0.9440353460972017,0.9846390168970814
5,31.png,0.962929061784897,0.9285083848190644,0.9317980513728964,0.9962121212121212
6,2242.png,0.8954869358669834,0.810752688172043,0.908433734939759,0.882903981264637
7,1014.png,0.9440993788819875,0.8941176470588236,0.9020771513353115,0.990228013029316
8,1322.png,0.8802228412256267,0.7860696517412935,0.8359788359788359,0.9294117647058824
9,1779.png,0.9303201506591338,0.8697183098591549,0.9724409448818898,0.8916967509025271
10,1217.png,0.9262435677530018,0.8626198083067093,0.8653846153846154,0.996309963099631
11,1956.png,0.8669755129053608,0.7651869158878505,0.7651869158878505,1.0
12,108.png,0.9686817188638019,0.9392655367231638,0.942371280113368,0.9965034965034965
13,1258.png,0.9484193011647255,0.9018987341772152,0.9693877551020408,0.9283387622149837
14,571.png,0.9630573248407645,0.9287469287469288,0.9402985074626866,0.9869451697127938
15,1888.png,0.7394957983193279,0.5866666666666667,0.75,0.7292817679558011
16,35.png,0.9322033898305085,0.873015873015873,0.8943089430894309,0.9734513274336283
17,2162.png,0.8443784586313943,0.730670404111189,0.9487412799514711,0.7607003891050583
18,2582.png,0.9534555712270805,0.9110512129380054,0.9778206364513018,0.9302752293577982
19,1279.png,0.0,0.0,0.0,0.0
20,749.png,0.8623150565709311,0.7579559363525091,0.9204756596060943,0.8110674525212835
21,2122.png,0.0764080346593147,0.039721539721539724,0.06043613707165109,0.10385438972162742
22,2928.png,0.8270571827057183,0.7051129607609988,0.7501581277672359,0.9215229215229215
23,74.png,0.9770029673590503,0.9550398839738942,0.9832026875699889,0.9708809436048654
24,788.png,0.8681740050244612,0.7670560747663552,0.7774094245796827,0.982934131736527
25,707.png,0.9751288371050862,0.9514648010494097,0.9722966934763181,0.9779775280898877
26,1678.png,0.953125,0.9104477611940298,0.9625246548323472,0.9439071566731141
27,909.png,0.862030216006992,0.7575159095896423,0.7575159095896423,1.0
28,218.png,0.8521897810218978,0.7424483306836248,0.9810924369747899,0.7532258064516129
29,2046.png,0.9071196241416698,0.830026455026455,0.900286944045911,0.9140568099053168
30,3.png,0.9680951481970926,0.938163190633004,0.9668174962292609,0.9693761814744801
31,1270.png,0.6183206106870229,0.44751381215469616,0.7641509433962265,0.5192307692307693
32,573.png,0.8615216201423098,0.7567307692307692,0.9800747198007472,0.7685546875
33,861.png,0.5084745762711865,0.3409090909090909,0.3441295546558704,0.9732824427480916
34,2463.png,0.28627450980392155,0.16704805491990846,1.0,0.16704805491990846
35,1326.png,0.7140600315955766,0.5552825552825553,0.5552825552825553,1.0
36,528.png,0.9373860182370821,0.8821510297482837,0.9987046632124352,0.8831615120274914
37,461.png,0.8507042253521127,0.7401960784313726,0.8628571428571429,0.8388888888888889
38,803.png,0.7341513292433538,0.5799676898222941,0.6257989540964556,0.887881286067601
39,1392.png,0.9549549549549549,0.9137931034482759,0.9618874773139746,0.9481216457960644
40,298.png,0.45584045584045585,0.2952029520295203,0.2952029520295203,1.0
41,3005.png,0.7252396166134185,0.568922305764411,1.0,0.568922305764411
42,1239.png,0.909329829172142,0.8337349397590361,0.8826530612244898,0.9376693766937669
43,2839.png,0.0,0.0,0.0,0.0
44,2605.png,0.8131974769529355,0.6852003270645952,0.9533560864618885,0.7089678510998308
45,1529.png,0.9412861136999069,0.8890845070422535,0.9600760456273765,0.923217550274223
46,574.png,0.8449082403742353,0.7314641744548287,0.9991489361702127,0.7319201995012469
47,2574.png,0.9266331658291457,0.8632958801498127,0.9505154639175257,0.903921568627451
48,1702.png,0.9219047619047619,0.8551236749116607,0.983739837398374,0.8673835125448028
49,1732.png,0.9286027157249234,0.866721177432543,0.9943714821763602,0.8709942481511914
50,1266.png,0.782608695652174,0.6428571428571429,0.6585365853658537,0.9642857142857143
51,1808.png,0.7154772937905468,0.556998556998557,1.0,0.556998556998557
