epoch,dice_coef,learning_rate,loss,val_dice_coef,val_loss
0,0.13541793823242188,9.999999747378752e-05,0.8645821213722229,0.01688191294670105,0.9830843806266785
1,0.2728319466114044,9.999999747378752e-05,0.7271681427955627,0.006967024877667427,0.9929768443107605
2,0.36241626739501953,9.999999747378752e-05,0.6375837922096252,0.02680431865155697,0.9734587073326111
3,0.44010502099990845,9.999999747378752e-05,0.5598949790000916,0.14662428200244904,0.8531350493431091
4,0.5158478617668152,9.999999747378752e-05,0.4841521978378296,0.33353203535079956,0.6659178137779236
5,0.5749137997627258,9.999999747378752e-05,0.4250861406326294,0.5112133026123047,0.4828566014766693
6,0.627539873123169,9.999999747378752e-05,0.3724603056907654,0.5649266242980957,0.4317428469657898
7,0.6674033999443054,9.999999747378752e-05,0.33259639143943787,0.5700191855430603,0.428562194108963
8,0.7005507349967957,9.999999747378752e-05,0.29944923520088196,0.6355023384094238,0.3577369153499603
9,0.7237839698791504,9.999999747378752e-05,0.27621614933013916,0.5591257214546204,0.4343383014202118
10,0.7450141310691833,9.999999747378752e-05,0.25498589873313904,0.6739090085029602,0.3225421905517578
11,0.7719325423240662,9.999999747378752e-05,0.22806720435619354,0.700623095035553,0.2970312535762787
12,0.7917793989181519,9.999999747378752e-05,0.20822030305862427,0.714999794960022,0.2835654616355896
13,0.8049132227897644,9.999999747378752e-05,0.1950865089893341,0.7115401029586792,0.2818341851234436
14,0.8155967593193054,9.999999747378752e-05,0.18440315127372742,0.7316359877586365,0.26391687989234924
15,0.826791524887085,9.999999747378752e-05,0.17320843040943146,0.7338248491287231,0.25844958424568176
16,0.8425471186637878,9.999999747378752e-05,0.15745286643505096,0.6962189078330994,0.29837918281555176
17,0.849541187286377,9.999999747378752e-05,0.15045897662639618,0.7647401094436646,0.2339475303888321
18,0.86053067445755,9.999999747378752e-05,0.1394694745540619,0.7371968030929565,0.25738653540611267
19,0.8643630743026733,9.999999747378752e-05,0.1356368213891983,0.7085779905319214,0.2878701090812683
20,0.8616909980773926,9.999999747378752e-05,0.1383088082075119,0.7725208401679993,0.22588256001472473
21,0.8747069239616394,9.999999747378752e-05,0.12529271841049194,0.7509381175041199,0.2406860589981079
22,0.8648343682289124,9.999999747378752e-05,0.13516560196876526,0.7596272230148315,0.2384912520647049
23,0.8808521032333374,9.999999747378752e-05,0.11914797872304916,0.7821268439292908,0.21592257916927338
24,0.8903660774230957,9.999999747378752e-05,0.10963394492864609,0.7706689834594727,0.22738417983055115
25,0.895950198173523,9.999999747378752e-05,0.10404983907938004,0.7953106760978699,0.20257610082626343
26,0.8955031037330627,9.999999747378752e-05,0.10449680685997009,0.7910901308059692,0.20793338119983673
27,0.8891608715057373,9.999999747378752e-05,0.11083915084600449,0.7624216079711914,0.237020805478096
28,0.8952673673629761,9.999999747378752e-05,0.10473281145095825,0.776200532913208,0.22203700244426727
29,0.9048690795898438,9.999999747378752e-05,0.09513089060783386,0.7764161229133606,0.21989889442920685
30,0.9045852422714233,9.999999747378752e-05,0.09541475772857666,0.7846572399139404,0.213189959526062
31,0.9144552946090698,9.999999747378752e-06,0.08554480969905853,0.8085421919822693,0.18917112052440643
32,0.9205176830291748,9.999999747378752e-06,0.07948209345340729,0.8092604279518127,0.1883898824453354
33,0.9229102730751038,9.999999747378752e-06,0.07708967477083206,0.8092431426048279,0.1883380115032196
34,0.9247183799743652,9.999999747378752e-06,0.0752815306186676,0.8096118569374084,0.18799905478954315
35,0.926167905330658,9.999999747378752e-06,0.07383221387863159,0.8096246719360352,0.18799786269664764
36,0.9274668097496033,9.999999747378752e-06,0.07253311574459076,0.809337317943573,0.18841281533241272
37,0.928612232208252,9.999999747378752e-06,0.07138779759407043,0.8090862035751343,0.18866321444511414
